,Date,Tweets
0,2019-02-15 16:30:09,@JacdecNew Seems to be happening all over Europe this week. #KLM #AirFrance #airmauritius
1,2019-02-15 13:21:21,Now ready for flight https://t.co/ULGbtAkvFj #Airbus #A330neo #airmauritius @aibfamilyflight #avgeek
2,2019-02-15 12:36:21,And rto is done for the first #airbus #a330 #a330neo for #airmauritius 😍😍😍😍@airmauritius https://t.co/1hnDUDBftV
3,2019-02-15 09:48:04,"#Beach or #Adventure?  Well, on #Mauritius, you can do both.  The real question is how quick can you get here? Fly with #AirMauritius - connecting flights to Air Mauritius are available from the US with partner carries. Your dream vacation awaits!"
4,2019-02-08 02:09:31,Countdown for her new home in #Mauritius is on. #A330neo #AapravasiGhat #AirMauritius https://t.co/p5veTZ8LNf
5,2019-02-07 13:42:13,#Mauritius #AirMauritius #AirSeychelles #CycloneGenela #CycloneFunani TWO TROPICAL STORMS 12S AND 13S... https://t.co/pXcaa355o9
6,2019-02-07 13:26:57,#Mauritius #AirMauritius #AirSeychelles #CycloneGenela #CycloneFunani TWO TROPICAL STORMS 12S AND 13S... https://t.co/J3ItYoYYlD
