,Date,Tweets
33,2019-02-14 21:56:04,"@AdityaRajKaul Wow, Great #UtopianAtal continues in the Chair  ⏬  He was in meetings after &amp; thereafter, &amp; after IC814 #AirIndia Flight was hijacked...  ⬇  #GreatBrain was continuing with meetings, after Airplane was gifted ""warm send off"" from Amritsar  👇 @POTUS had no meeting during 9/11"
34,2019-02-14 21:08:41,#Airindia flight a hell of journey They give priority to everything else Rather than reaching at schedule time AI 892 on 14 the Feb 2 hour later it must be privatised @narendramodi @airindiain
35,2019-02-14 21:04:38,"Horrible service, old dirty plane, and cancelled flight @airindiain #airindia"
36,2019-02-14 19:13:12,@airindiain flight to Mumbai has been delayed by two hours. Have a connecting Emirates flight. The service is so terrible that there is no way to even get in touch with the representatives. Toll free number are not valid. #AirIndia #worstairline
37,2019-02-14 17:29:42,"@airindiain express opens bookings for Kannur - Bahrain - Kuwait Kannur flight service from April 01, 2019. @airportCNN #avgeek #AirIndia #AirIndiaExpress https://t.co/rX8cn3Pa5E"
38,2019-02-14 17:25:37,"#NaikButaSingh Martyred While Serving at 2nd Highest Post in #Sikkim, #AirIndia Staff, Passengers Stand Up to Honour #IndianArmy Soldier, Watch Video @adgpi @airindiain  https://t.co/qqLmPEYwu6"
39,2019-02-14 16:21:37,#flyAI #maldives #airindia #cricket team  Good. Mr Sudhir Bhat from AI Commercial can be seen wearing high visibility jacket in the 1st pics. https://t.co/E9BZwmgikw
40,2019-02-14 16:00:00,One mess after another for #AirIndia.  Passengers on Air India’s London-Delhi flight had to bear the stench of an overflowing toilet as dirty water drenched the carpet in the economy cabin. https://t.co/ejt8XpnaoR
41,2019-02-14 15:59:38,#FlyAI : #airindia #cricket team with @YUVSTRONG12 given a grand #Reception at #Maldives #excitement #bonding #cricket https://t.co/MJOd9qt2ir
42,2019-02-14 15:53:34,#FlyAI : #airindia cricket team with star cricketer @YUVSTRONG12 an airindian in #Maldives for exhibition match with govt of #Maldives #bonding #cricket .  Director Personnel #AirIndia Mrs. Amrita Sharan will also be cheering team #AirIndia https://t.co/a47NhH8H7B
43,2019-02-14 12:06:25,Cabinet committee nod for #AshwaniLohani as #AirIndia CMD https://t.co/KPQoJsIyy9
44,2019-02-14 11:57:04,Home Minister @rajnathsingh flags off direct @airindiain flight from Lucknow to Najaf in Iraq. #JaipurToday #NewsWithJaipurToday #NewsUpdates #News #HomeMinister #RajnathSingh #AirIndia #AirIndiaFlight #IndianAirlines #AirTravel #Travel #Lucknow #Najaf #Iraq https://t.co/Xasuokq0Sp
