,Date,Tweets
31,2019-02-14 23:25:19,WOW: Qantas uses virtual reality to reveal the design of its new First Lounge https://t.co/lMwFwoHq7h @Qantas #Qantas #airlinenews #firstlounge #Singapore @ChangiAirport #virtualreality https://t.co/MHjWDpSmMa
32,2019-02-14 23:16:53,WOW: Qantas uses virtual reality to reveal the design of its new First Lounge https://t.co/5JSggapSXL @Qantas #Qantas #airlinenews #firstlounge #Singapore @ChangiAirport #virtualreality https://t.co/zse2aewLhh
33,2019-02-14 20:46:26,End of an era. Hope they made enough spares for #A380 #superjumbo. Guess both #Emirates and #Qantas blinked... #aviation https://t.co/ArLlEE8wri
34,2019-02-14 20:19:37,@rozza1001 @newscomauHQ Amazing - we should never have left the 747 #QANTAS @Qantas #Boeing @Boeing - always a mistake.  Caught up in all the hoopla and media crap the airlines all just followed the other.
35,2019-02-14 16:23:18,https://t.co/kxFqQvRpBU  Biggest commercial airplane to halt production? Say it isn't so!  #Airbus #AirbusA380 #Emirates #Qantas @Airbus
36,2019-02-14 16:03:48,Experience The New #Qantas Singapore First Lounge Without Going To #Singapore https://t.co/Qg4a056lAv #paxex #travelblog #traveling #avgeek  #airline #airport https://t.co/GUQUrusnoO
37,2019-02-14 13:30:48,Sometimes pictures are enough :-(   Both are great aircraft! One was just in time..... one was ahead of its time!  #aviation #planes #airline #airport #avgeek #Qantas #Emirates #Boeing #Airbus #A380 https://t.co/7UZWKwPMwu
38,2019-02-14 12:08:37,The @acccgovau inquiry into the 19.9 per cent interest in Alliance Airlines by Qantas Airways is accepting public submissions until 4 March 2019. Make a submission and tell the ACCC this is bad for regional Australia. #aviation #qantas #auspol #regions https://t.co/otx1eX6kqc
39,2019-02-14 11:59:42,💔💔💔 A380 - Love At First Flight❤️✈️ #saddestvalentinesdayever #crewlife #avgeek #airbus #airbus380 #airbuslover #loveatfirstflight #doubledecker #qantas #flyingkangaroo #QF #AA #TheAustralianAviation #FlyGirlT  @airbus  @theaustralianaviation  @qantas  @qantas.fanpage  @sydn… https://t.co/4dYOUDSYa7
40,2019-02-14 10:31:52,#qantas made me eat it. https://t.co/P6mYHRBjv1
41,2019-02-14 10:23:17,How To Sneak Into The #Qantas Singapore First Lounge Without Going To Singapore  https://t.co/UndRQFT8q4
42,2019-02-14 09:21:08,@Reuters Not happy. I love flying onboard these jumbos #Etihad #SingaporeAir #Qantas
43,2019-02-14 08:56:39,"We should put #Qantas on notice that until they switch to @ABCTV and @SBS - our public broadcasters, hello! - we will refuse to fly with them. I find it deeply offensive to be involuntarily subject to @SkyNewsAust hysteria or any #MurdochMedia. And so do millions of others. https://t.co/rynVbyLNUh"
44,2019-02-14 04:05:48,Couldn’t resist an espresso martini at today’s #Qantas first class lounge presser… https://t.co/MZOZu7Vw5B
45,2019-02-14 03:41:14,"Terrible experience with flying #Qantas.Return trip from Syd-Lon.Flight oversold, not notified until boarding, placed on different flight at different terminal-insufficient time to make, rebooked onto Emirates 5hrs later, told at boarding Qantas had not ticketed correctly *sigh*"
46,2019-02-14 03:31:29,Flying to Perth with #qantas - loving the wifi.
47,2019-02-14 03:29:14,Design of Qantas' New First Class Lounge in Singapore Changi Airport is Unveiled  https://t.co/Gx1QZBJfyK  #avgeek #aviation #qantas #changiairport #singapore #news
48,2019-02-14 03:17:29,"The design of @Qantas's new #firstclass lounge in Singapore, opening end of 2019, is coming along - here's a peek of what it will look like https://t.co/09T8BbKTPh #airportlounges #businesstravel #Qantas"
49,2019-02-14 02:49:03,[✈️https://t.co/K5sDZEfU4k ] Qantas uses VR to finalise new Singapore First Lounge design https://t.co/waM49Shvd4 #CorporateTravel #Qantas [🚗 https://t.co/ltDTnjHnEC ] https://t.co/Xdmix7BLdb
50,2019-02-14 01:30:00,Qantas' new Singapore first class lounge takes shape https://t.co/Afnrb7OaLh #PaxEx #Qantas @ChangiAirport https://t.co/v8RpIUdCs7
51,2019-02-14 01:09:57,"@Qantas QF617 boarding delayed by over 20min now, with no updates or reason given. No sense of urgency. Not a great experience. #qantas"
52,2019-02-14 00:40:47,Celebrating #valentinesday with the wife at @qantas markets!!  #happyvalentinesday #qantas #market #freshproduce #lucacianoproducts #natural #healthy #healthyfood #pastasauce #nosugar… https://t.co/Lmk120K1TN
53,2019-02-14 00:38:32,"Time for a break? Turn your hard-earned #Qantas Points into a well-deserved holiday with Air Vanuatu, and be whisked away to a tropical island paradise with picture-postcard beaches and some of the world’s best scuba diving. https://t.co/KhkvNbEAh0 @VanuatuTourism1"
54,2019-02-13 21:08:45,@Qantas Already used by @airfrance #avgeek #AF #Airfrance #Qantas https://t.co/hF8eiUXa9H
55,2019-02-13 21:05:05,"https://t.co/356K0hfZUc If you love to spend big, the new @Qantas rewards card could be for you 😍👌 #Qantas #FrequentFlyer #rewards #creditcard"
56,2019-02-13 12:58:53,"I've had it up to here with freedom-loving convicts, pilgrims fleeing religious conflicts, and historical migration patterns traveling by boat. Fly #QANTAS . I want #BorderSecurity episodes 24/7.   What do we want? More people. When? Soon as the Navy takes a sickie! #auspol #MAGA https://t.co/sB2gVlxBSs"
57,2019-02-13 11:25:53,Our tips to make the most of a trip Down Under! 👇 https://t.co/6bOlwWqGxf . . . #travel #qantas #suretravel #adventure #wanderlust #explore #explorers #holiday #australia #newzealand #oceania #travelblog #travelblogger #traveladdict #exploretocreate #letsgo #tourism #bucketlist https://t.co/XGFmr6Wxpi
