,Date,Tweets
31,2019-02-11 08:10:55,Virgin Australia Group Appoints New CEO and Managing Director #VirginAustralia https://t.co/lvByBvSJWN https://t.co/OreZ8W8HY9
32,2019-02-10 22:36:42,It’s safe to say booking a plane ticket through the #Qantas website is a much better experience than via the #VirginAustralia website which made me 🤯🤬
33,2019-02-10 08:02:03,Who’s going to win the race? good evening #MELBOURNE #virginaustralia @virginaustralia #planespotting #va870 @ Melbourne Airport https://t.co/dIcOVBqawI
34,2019-02-10 07:38:56,"Doing laps around Mt Buller tonight. #va870 #virginaustralia @virginaustralia @ Mount Buller, Victoria https://t.co/Nh3hw18PTA"
35,2019-02-10 06:38:58,Cya laters #sydney #virginaustralia #runway16R @virginaustralia @ Sydney Airport https://t.co/JRJv0LcN5a
36,2019-02-10 03:41:35,Had a great week in #Newcastle #australia. One last beautiful view on the way home. #beach #flying #virginaustralia  #NSW https://t.co/QmqdgwyCBz
37,2019-02-09 21:59:59,Well alright..  ill have three PremiumX if I have to. Thank you #virginaustralia https://t.co/JlnwELE9M2
38,2019-02-09 20:55:42,A wise man once said that a journey of a thousand miles begins with a single coffee... #fonzieabbott #virginaustralia #sanfrancisco @ Brisbane Airport https://t.co/T9ipMwa7f6
39,2019-02-09 14:01:17,Planning a visit to Uluru? Jetstar fly direct from Melbourne and Sydney. #VirginAustralia fly direct from Sydney #Qantas Link fly direct from Cairns and Alice Springs.  Stop planning! Book it now! https://t.co/LQcISr9ZEo
40,2019-02-09 03:51:00,MOVERS &amp; SHAKERS: Former Flight Centre Exec named CEO &amp; MD of Virgin Australia https://t.co/SYBDBGV50L @VirginAustralia #VirginAustralia #aviationnews #airlinenews https://t.co/xSR5HddHyB
41,2019-02-09 02:28:56,@JaneMarwick @Qantas Airlines are renowned for being shit communicators. #Qantas #VirginAustralia #jetstar
42,2019-02-09 02:17:59,MOVERS &amp; SHAKERS: Former Flight Centre Exec named CEO &amp; MD of Virgin Australia https://t.co/43d4J9uGx5 @VirginAustralia #VirginAustralia #aviationnews #airlinenews https://t.co/PUiSxy66Gl
43,2019-02-08 21:01:03,Love travelling on #VirginAustralia https://t.co/oLJU7lltLO
44,2019-02-08 20:24:11,No prizes for guessing where I am at this ungodly hour! #virginaustralia https://t.co/zYAM0w9Yly https://t.co/BqWoUnNF3x
45,2019-02-08 13:33:42,"#virginaustralia VA869 storm, 3 failed landings, divert newcastle, engineering issue, bus, crash, 2 hr on roadside #willweevergettosydney #youhavetolaugh"
46,2019-02-08 11:06:55,You know it's been a shitty day at the airport when passengers applaud a boarding announcement. A lot of people's flights cancelled today. Just thankful to get on my flight. Tough day for Virgin staff also #SydneyAirport #VirginAustralia
47,2019-02-08 09:35:20,a rainy rainy night of delays out of Sydney ☔️ #virgin #virginaustralia #sydney #sydneyairport #summerstorm @ Sydney Domestic Airport Terminal 3 https://t.co/0VmdpNh2Tf
48,2019-02-08 09:01:06,@TigerairAU Well done for cancelling TT416 again and putting me on a midnight plane... Crap... Crap... Crap.. #virginaustralia doesn't let me down!
49,2019-02-08 02:02:45,Once again #expediagroup  and #virginaustralia  you have taken my $$$ and are now refusing to give me air credit and or a refund based on airline policy ..what kind of policy makers do you employ? $1700 nzd and you want $225usd to change it😡  #richardbranson this sucks
50,2019-02-08 02:00:51,Looking for ways to visit central Australia? Look no further. #VirginAustralia and Jetstar Airways flies direct from Sydney to Uluru daily. #Jetstar also flies from Melbourne and Brisbane directly.  Qantaslink flies direct from Cairns and Alice Springs. It's that easy! https://t.co/bbR3OMhIXv
51,2019-02-07 11:50:22,#VirginAustralia big thank you to our pilot Chris Bradbury on VA1555 7/2/19 for taking us across Sydney city on a beautiful day best ever sight! #operahouse #harbourbridge #lovemycity #stunningsydney #soexcited https://t.co/3jSRh40z7G
52,2019-02-07 05:29:24,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #virginaustralia #juneandjanuary: https://t.co/cVKnGHMCgG https://t.co/0674BbsHOL
53,2019-02-07 01:44:12,MOVERS &amp; SHAKERS: Former Flight Centre Exec named CEO &amp; MD of Virgin Australia https://t.co/SYBDBGV50L @VirginAustralia #VirginAustralia #aviationnews #airlinenews https://t.co/AlvpEDGoBG
54,2019-02-07 01:28:00,"Virgin Australia's new boss says he'll take on Qantas, reverse losses #virginaustralia https://t.co/3aEWvUgZ18"
55,2019-02-06 23:01:39,MOVERS &amp; SHAKERS: Former Flight Centre Exec named CEO &amp; MD of Virgin Australia https://t.co/43d4J9uGx5 @VirginAustralia #VirginAustralia #aviationnews #airlinenews https://t.co/dMoShxd5av
56,2019-02-06 22:48:47,New Virgin boss says staff culture a key to success. @VirginAustralia #aviation #virginaustralia https://t.co/YJdcukwYAR
