,Date,Tweets
0,2019-02-11 17:55:43,"Ever checked out the #PakistanInternationalAirlines website? Really modern and, to be frank, really doesn't go well with their Business Model - being delayed with terrible service! Anyone agree or had a better experience?  #airline #corruptairline #aviation #airlinenews"
1,2019-02-11 08:23:41,‘Great People To Fly With’ #PakistanInternationalAirlines 🇵🇰  @Official_PIA #FlyPIA #Pakistan @Boeing https://t.co/oMWvyQwhqw
2,2019-02-10 14:00:25,PIA Now And PIA Before  #pia #pakistaninternationalairlines https://t.co/RKaWwwKPFT
3,2019-02-07 10:48:18,Man on a mission   #pakistaninternationalairlines  #aviation  #aviationlovers  #plane  #picoftheday  #planespotters  #aircraft  #modelplane  #aircraftmodel  #aircraftphotography… https://t.co/xFBya1sQjf
